Name,Version,License,Source
actioncable,5.1.2,MIT,http://rubyonrails.org
actioncable,5.0.0.beta3,MIT,http://rubyonrails.org
actioncable,5.0.0,MIT,http://rubyonrails.org
actioncable,5.0.2,MIT,http://rubyonrails.org
actioncable,5.1.1,MIT,http://rubyonrails.org
actioncable,5.0.0.rc1,MIT,http://rubyonrails.org
actionmailer,3.2.22,MIT,http://www.rubyonrails.org
actionmailer,5.1.2,MIT,http://rubyonrails.org
actionmailer,5.0.0.beta3,MIT,http://rubyonrails.org
actionmailer,5.0.0,MIT,http://rubyonrails.org
actionmailer,5.0.2,MIT,http://rubyonrails.org
actionmailer,4.1.14,MIT,http://www.rubyonrails.org
actionmailer,5.1.1,MIT,http://rubyonrails.org
actionmailer,5.0.0.rc1,MIT,http://rubyonrails.org
actionpack,3.2.22,MIT,http://www.rubyonrails.org
actionpack,5.1.2,MIT,http://rubyonrails.org
actionpack,5.0.0.beta3,MIT,http://www.rubyonrails.org
actionpack,5.0.0,MIT,http://rubyonrails.org
actionpack,5.0.2,MIT,http://rubyonrails.org
actionpack,4.1.14,MIT,http://www.rubyonrails.org
actionpack,5.1.1,MIT,http://rubyonrails.org
actionpack,5.0.0.rc1,MIT,http://rubyonrails.org
actionview,5.1.2,MIT,http://rubyonrails.org
actionview,5.0.0.beta3,MIT,http://www.rubyonrails.org
actionview,5.0.0,MIT,http://rubyonrails.org
actionview,5.0.2,MIT,http://rubyonrails.org
actionview,4.1.14,MIT,http://www.rubyonrails.org
actionview,5.1.1,MIT,http://rubyonrails.org
actionview,5.0.0.rc1,MIT,http://rubyonrails.org
active_record_union,1.2.0,Public Domain,https://github.com/brianhempel/active_record_union
active_record-updated_at,0.0.2,MIT,https://github.com/lendinghome/active_record-updated_at
activejob,5.1.2,MIT,http://rubyonrails.org
activejob,5.0.0.beta3,MIT,http://www.rubyonrails.org
activejob,5.0.0,MIT,http://rubyonrails.org
activejob,5.0.2,MIT,http://rubyonrails.org
activejob,5.1.1,MIT,http://rubyonrails.org
activejob,5.0.0.rc1,MIT,http://rubyonrails.org
activemodel,3.2.22,MIT,http://www.rubyonrails.org
activemodel,5.1.2,MIT,http://rubyonrails.org
activemodel,5.0.0.beta3,MIT,http://www.rubyonrails.org
activemodel,5.0.0,MIT,http://rubyonrails.org
activemodel,5.0.2,MIT,http://rubyonrails.org
activemodel,4.1.14,MIT,http://www.rubyonrails.org
activemodel,5.1.1,MIT,http://rubyonrails.org
activemodel,5.0.0.rc1,MIT,http://rubyonrails.org
activerecord,3.2.22,MIT,http://www.rubyonrails.org
activerecord,5.1.2,MIT,http://rubyonrails.org
activerecord,5.0.0.beta3,MIT,http://www.rubyonrails.org
activerecord,5.0.0,MIT,http://rubyonrails.org
activerecord,5.0.2,MIT,http://rubyonrails.org
activerecord,4.1.14,MIT,http://www.rubyonrails.org
activerecord,5.1.1,MIT,http://rubyonrails.org
activerecord,5.0.0.rc1,MIT,http://rubyonrails.org
activeresource,3.2.22,MIT,http://www.rubyonrails.org
activesupport,3.2.22,MIT,http://www.rubyonrails.org
activesupport,5.1.2,MIT,http://rubyonrails.org
activesupport,5.0.0.beta3,MIT,http://www.rubyonrails.org
activesupport,5.0.0,MIT,http://rubyonrails.org
activesupport,5.0.2,MIT,http://rubyonrails.org
activesupport,4.1.14,MIT,http://www.rubyonrails.org
activesupport,5.1.1,MIT,http://rubyonrails.org
activesupport,5.0.0.rc1,MIT,http://rubyonrails.org
acts_as_list,0.9.5,MIT,http://github.com/swanandp/acts_as_list
addressable,2.5.1,Apache-2.0,https://github.com/sporkmonger/addressable
addressable,2.4.0,Apache-2.0,https://github.com/sporkmonger/addressable
adyen_lite,0.1.0,MIT,https://github.com/goroomer/adyen-lite
aggregate,0.2.2,MIT,http://github.com/josephruscio/aggregate
akami,1.2.2,MIT,https://github.com/savonrb/akami
arel,3.0.3,MIT,http://github.com/rails/arel
